get-together,buổi họp mặt,"The team is having a get-together at a local restaurant on Friday.",daily-life,noun,"An informal social gathering."
team building,xây dựng đội nhóm,"The company organized a team-building event to improve collaboration.",business-communication,noun,"Activities designed to help a team work together more effectively."
happy hour,giờ vàng (khuyến mãi),"Let's go for happy hour after work to unwind.",daily-life,noun,"A period of the day when drinks are sold at a reduced price in a bar or pub."
unwind,thư giãn,"Playing video games helps me unwind after a stressful day.",daily-life,verb,"To relax after a period of work or tension."
rapport,mối quan hệ tốt,"Building a good rapport with your colleagues makes work more enjoyable.",business-communication,noun,"A close and harmonious relationship in which the people or groups concerned understand each other's feelings or ideas and communicate well."
banter,nói đùa; trêu đùa,"There's always some friendly banter in our team's chat group.",business-communication,noun,"The playful and friendly exchange of teasing remarks."
chit-chat,chuyện phiếm,"We had a bit of chit-chat about the weekend before starting the meeting.",daily-life,noun,"Informal conversation about unimportant matters."
network,xây dựng mạng lưới quan hệ,"Conferences are a great opportunity to network with people from other companies.",business,verb,"To interact with other people to exchange information and develop professional or social contacts."
"--- Chủ đề: Giải quyết vấn đề & Tình huống khó khăn ---",,"",,,""
misunderstanding,sự hiểu lầm,"There was a misunderstanding about the task requirements, but we have clarified it now.",business-communication,noun,"A failure to understand something correctly."
address (an issue),giải quyết (một vấn đề),"We need to address the performance issue before the next release.",business,verb,"To think about and begin to deal with an issue or problem."
accountable,chịu trách nhiệm,"As the team lead, I am accountable for the project's success.",business,adjective,"Required or expected to justify actions or decisions; responsible."
take responsibility,nhận trách nhiệm,"He took responsibility for the error and proposed a solution.",business,phrase,"To accept the blame or fault for something."
apologize,xin lỗi,"I want to apologize for the delay in sending the report.",business-communication,verb,"To express regret for something that one has done wrong."
sort out,giải quyết; sắp xếp,"Let's have a call to sort out the deployment schedule.",business-communication,phrasal verb,"To resolve a problem or difficulty; to arrange things systematically."
figure out,tìm ra cách giải quyết,"I need some time to figure out why this code is not working.",business-communication,phrasal verb,"To find the solution to a problem or question."
"--- Chủ đề: Động viên & Thể hiện cảm xúc (với đồng nghiệp) ---",,"",,,""
encouragement,sự động viên; khích lệ,"A little encouragement from the team lead can boost morale.",business-communication,noun,"The action of giving someone support, confidence, or hope."
motivate,truyền động lực,"A good bonus structure can motivate employees to perform better.",business,verb,"To provide someone with a reason for doing something."
frustrated,bực bội; nản lòng,"I'm getting frustrated with this bug; I can't seem to find the cause.",business-communication,adjective,"Feeling or expressing distress and annoyance, especially because of inability to change or achieve something."
grateful,biết ơn,"I'm very grateful for your help on this project.",business-communication,adjective,"Feeling or showing an appreciation of kindness; thankful."
proud of,tự hào về,"The manager is very proud of what the team has accomplished.",business-communication,phrase,"Feeling deep pleasure or satisfaction as a result of one's own or someone else's achievements."
